case,mesh_pattern,element_version,dof,tip_deflection_mm,ref_EB_mm,ref_timoshenko_mm,error_vs_timoshenko_pct,sigma_x_fixed_end_MPa,ref_sigma_x_MPa,tau_xy_neutral_MPa,ref_tau_xy_MPa,max_von_mises_MPa,force_balance_error,solve_time_s
Q1_QL,Q1,QL,20,0.060089,0.085333,0.089493,32.857,0.0000,24.0000,1.0000,1.5000,1.7321,3.1974e-15,0.0018
Q2_QL,Q2,QL,20,0.047331,0.085333,0.089493,47.112,0.0493,24.0000,0.6969,1.5000,2.9952,2.0250e-14,0.0005
Q3_QL,Q3,QL,2210,0.088867,0.085333,0.089493,0.699,24.7602,24.0000,1.3743,1.5000,23.6644,2.2720e-12,0.1009
Q1_QH,Q1,QH,46,0.087001,0.085333,0.089493,2.785,0.0000,24.0000,1.0000,1.5000,1.7321,1.6520e-13,0.0015
Q2_QH,Q2,QH,46,0.087000,0.085333,0.089493,2.786,0.1913,24.0000,1.0195,1.5000,1.8075,2.7285e-13,0.0013
Q3_QH,Q3,QH,6466,0.089080,0.085333,0.089493,0.462,24.5307,24.0000,1.3750,1.5000,23.6624,2.5882e-12,0.3621
T1_TL,T1,TL,20,0.026270,0.085333,0.089493,70.646,5.4490,24.0000,0.8311,1.5000,6.5559,1.7764e-15,0.0005
T2_TL,T2,TL,20,0.025211,0.085333,0.089493,71.829,5.9644,24.0000,0.9270,1.5000,7.0199,1.1724e-14,0.0004
T3_TL,T3,TL,2210,0.088196,0.085333,0.089493,1.450,27.3611,24.0000,1.3699,1.5000,27.1126,8.4022e-13,0.0876
T1_TH,T1,TH,54,0.086895,0.085333,0.089493,2.903,7.0515,24.0000,1.0168,1.5000,7.3006,3.7943e-13,0.0018
T2_TH,T2,TH,54,0.086698,0.085333,0.089493,3.124,7.3003,24.0000,0.9848,1.5000,7.2974,2.5775e-13,0.0014
T3_TH,T3,TH,8514,0.089084,0.085333,0.089493,0.457,25.7789,24.0000,1.3789,1.5000,25.5072,5.5856e-12,0.3745
